index,code,gender
0,69484,M
1,69484,M
2,69484,M
3,67042,M
4,67042,M
5,67042,M
6,69856,M
7,69856,M
8,70371,M
9,70371,M
10,69855,M
11,69855,M
12,68404,M
13,68404,M
14,68282,M
15,68282,M
16,68282,M
17,69612,M
18,69612,M
19,69612,M
20,69612,M
21,70519,M
22,70519,M
23,69691,M
24,69691,M
25,69691,M
26,69691,M
27,69691,M
28,69690,M
29,69690,M
30,69690,M
31,69690,M
32,69686,M
33,69686,M
34,69686,M
35,69686,M
36,69686,M
37,69688,M
38,69688,M
39,69688,M
40,69688,M
41,69409,M
42,69409,M
43,69409,M
44,69409,M
45,69409,M
46,69409,M
47,69272,M
48,69272,M
49,69272,M
50,69272,M
51,69272,M
52,69689,M
53,69689,M
54,69689,M
55,69689,M
56,69689,M
57,69687,M
58,69687,M
59,69687,M
60,69685,M
61,69685,M
62,69685,M
63,69685,M
64,69685,M
65,69684,M
66,69684,M
67,69684,M
68,69684,M
69,68865,M
70,68865,M
71,68865,M
72,68865,M
73,68865,M
74,68865,M
75,68865,M
76,68865,M
77,68865,M
78,69483,M
79,69483,M
80,69483,M
81,69183,M
82,69183,M
83,69183,M
84,69183,M
85,69182,M
86,69182,M
87,69182,M
88,69182,M
89,69485,M
90,69485,M
91,69485,M
92,69485,M
93,69384,M
94,69384,M
95,49857,M
96,70173,M
97,70173,M
98,67630,M
99,69743,M
100,67484,M
101,67484,M
102,69231,M
103,69742,M
104,69742,M
105,69570,M
106,69570,M
107,69570,M
108,69386034,M
109,69386034,M
110,69087,M
111,69087,M
112,69087,M
113,69087,M
114,69087,M
115,69087,M
116,69087,M
117,69087,M
118,69087,M
119,70140,M
120,70140,M
121,70140,M
122,69222,M
123,69222,M
124,69222,M
125,69233,M
126,69233,M
127,69233,M
128,69233,M
129,69864,M
130,69864,M
131,69385,M
132,69385,M
133,69315002,M
134,69315002,M
135,69628,M
136,69628,M
137,69628,M
138,69628,M
139,70172,M
140,70171,M
141,70147,M
142,70146,M
143,70145,M
144,69901,M
145,69739,M
146,70022,M
147,70022,M
148,70022,M
149,69900,M
150,69900,M
151,69900,M
152,69738,M
153,69738,M
154,69738,M
155,67237,M
156,67237,M
157,66979,M
158,66970,M
159,66970,M
160,69904,M
161,69408,M
162,69408,M
163,69408,M
164,69408,M
165,69571,M
166,69571,M
167,69571,M
168,69571,M
169,69744,M
170,69744,M
171,69744,M
172,69744,M
173,70409,M
174,70409,M
175,70411,M
176,70411,M
177,70411,M
178,70410,M
179,70410,M
180,70410,M
181,70410,M
182,70297,M
183,70297,M
184,70297,M
185,70297,M
186,70297,M
187,70201,M
188,70201,M
189,70201,M
190,69775,M
191,69741,M
192,69291,M
193,69291,M
194,69291,M
195,69291,M
196,69175,M
197,69175,M
198,69175,M
199,69175,M
200,69175,M
201,69175,M
202,69175,M
203,69175,M
204,69175,M
205,69175,M
206,69175,M
207,69175,M
208,69341,M
209,69341,M
210,69341,M
211,69179,M
212,69179,M
213,69179,M
214,69179,M
215,69179,M
216,69179,M
217,69179,M
218,69179,M
219,69179,M
220,69179,M
221,69179,M
222,66768001,M
223,66768001,M
224,64214,M
225,64214,M
226,67392001,M
227,67392001,M
228,67391001,M
229,67377,M
230,69843002,M
231,69843001,M
232,69842002,M
233,70450,M
234,69926,M
235,69844003,M
236,69840,M
237,26034,M
238,55459,M
239,60522,M
240,69924,M
241,60522,M
242,60522,M
243,60522,M
244,60522,M
245,60522,M
246,55037,M
247,42227,M
248,42227,M
249,42227,M
250,42227,M
251,42227,M
252,42227,M
253,42227,M
254,42227,M
255,69596,M
256,69596,M
257,69596,M
258,69596,M
259,69596,M
260,69177,M
261,69177,M
262,69177,M
263,69177,M
264,69177,M
265,69177,M
266,69177,M
267,69177,M
268,69627,M
269,69627,M
270,69627,M
271,69625,M
272,69625,M
273,69625,M
274,69679,M
275,69679,M
276,69679,M
277,69561,M
278,69561,M
279,69561,M
280,69561,M
281,69561,M
282,69561,M
283,70261,M
284,70261,M
285,70261,M
286,70261,M
287,70259,M
288,70259,M
289,70009,M
290,70009,M
291,70009,M
292,70009,M
293,70008,M
294,70008,M
295,70008,M
296,70008,M
297,70007,M
298,70007,M
299,70007,M
300,70007,M
301,69176,M
302,69176,M
303,69176,M
304,69176,M
305,69176,M
306,69176,M
307,69176,M
308,69176,M
309,69176,M
310,69176,M
311,69176,M
312,69003,F
313,69003,F
314,69003,F
315,69003,F
316,69003,F
317,69003,F
318,69003,F
319,69003,F
320,69214,F
321,69214,F
322,69214,F
323,69214,F
324,69214,F
325,69214,F
326,69214,F
327,69214,F
328,69214,F
329,69214,F
330,69214,F
331,69214,F
332,69214,F
333,69214,F
334,69214,F
335,69214,F
336,69214,F
337,69429,M
338,69429,M
339,69862,M
340,69862,M
341,69863,M
342,70069,M
343,70069,M
344,70069,M
345,70069,M
346,69342,M
347,69342,M
348,69342,M
349,69342,M
350,69342,M
351,69342,M
352,69342,M
353,69562,M
354,69562,M
355,69562,M
356,69562,M
357,69562,M
358,70326,M
359,70298,M
360,70298,M
361,70298,M
362,69122,M
363,69122,M
364,69122,M
365,69122,M
366,69122,M
367,69122,M
368,69122,M
369,69122,M
370,69174,M
371,69174,M
372,69174,M
373,69174,M
374,69174,M
375,69174,M
376,69174,M
377,69174,M
378,69174,M
379,69174,M
380,69174,M
381,69174,M
382,69174,M
383,69174,M
384,69861,M
385,69861,M
386,69861,M
387,69860,M
388,69860,M
389,69860,M
390,69860,M
391,69339,M
392,69339,M
393,69339,M
394,69339,M
395,69339,M
396,69859,M
397,69859,M
398,69859,M
399,69859,M
400,69671,M
401,69671,M
402,69671,M
403,69671,M
404,70010,M
405,70010,M
406,69331,M
407,69331,M
408,69331,M
409,69330,M
410,69330,M
411,69330,M
412,69330,M
413,69329,M
414,69329,M
415,69340,M
416,69340,M
417,69340,M
418,69340,M
419,69340,M
420,69340,M
421,69340,M
422,69340,M
423,69340,M
424,69340,M
425,69340,M
426,70324,M
427,70301,M
428,70301,M
429,69123,M
430,69123,M
431,69123,M
432,69123,M
433,69123,M
434,69123,M
435,69123,M
436,69123,M
437,69395,M
438,69395,M
439,69761003,M
440,69761003,M
441,70694002,M
442,70694002,M
443,70694001,M
444,70694001,M
445,70694001,M
446,69761002,M
447,69761002,M
448,70083,M
449,70083,M
450,70083,M
451,68853,M
452,68853,M
453,68853,M
454,68853,M
455,68853,M
456,68853,M
457,68853,M
458,68853,M
459,68853,M
460,68853,M
461,68853,M
462,69382,M
463,69382,M
464,69382,M
465,69382,M
466,69382,M
467,69381,M
468,69107,M
469,69107,M
470,69107,M
471,69107,M
472,69107,M
473,69107,M
474,69107,M
475,69107,M
476,69107,M
477,69107,M
478,69858,M
479,69858,M
480,70089,M
481,70089,M
482,70086,M
483,70086,M
484,70086,M
485,70086,M
486,70087,M
487,70087,M
488,70087,M
489,70087,M
490,70084,M
491,70156,M
492,70156,M
493,70156,M
494,69857,M
495,69857,M
496,69228,M
497,69228,M
498,69228,M
499,69228,M
500,69228,M
501,69228,M
502,69228,M
503,69228,M
504,69228,M
505,69600003,M
506,69600001,M
507,69317002,M
508,69317001,M
509,69317001,M
510,69315001,M
511,69315001,M
512,69608,M
513,69605002,M
514,69601,M
515,69601,M
516,69599001,M
517,69598,M
518,69598,M
519,69597,M
520,69597,M
521,69316002,M
522,69606003,M
523,69606002,M
524,69606001,M
525,69311004,M
526,69311003,M
527,69311001,M
528,69311001,M
529,69310,M
530,69310,M
531,69319003,M
532,69319002,M
533,69318003,M
534,69318001,M
535,70424004,M
536,70424002,M
537,70424002,M
538,70424001,M
539,70423004,M
540,70423003,M
541,70423002,M
542,70423002,M
543,69607002,M
544,69603001,M
545,69603001,M
546,69320003,M
547,69320001,M
548,69313002,M
549,69313001,M
550,70219002,M
551,69309001,M
552,69609002,M
553,69609001,M
554,69321001,M
555,69321001,M
556,69312003,M
557,70397,M
558,70397,M
559,70099,M
560,70099,M
561,70362001,M
562,70362001,M
563,70362001,M
564,69911,M
565,69811,M
566,69529,M
567,69785,M
568,69785,M
569,70485,M
570,69915,M
571,69912,M
572,69814,M
573,69814,M
574,69810,M
575,70486,M
576,69594,M
577,69594,M
578,69593,M
579,69593,M
580,70484,M
581,70484,M
582,70484,M
583,70296,M
584,70296,M
585,69592,M
586,69592,M
587,69168,M
588,69168,M
589,69168,M
590,69746,M
591,69746,M
592,69746,M
593,70449,M
594,70449,M
595,69170,M
596,69170,M
597,69170,M
598,69173,M
599,69173,M
600,69476,M
601,69476,M
602,69476,M
603,70266,M
604,70266,M
605,70266,M
606,70265,M
607,70265,M
608,70265,M
609,69221,M
610,69221,M
611,69747,M
612,69747,M
613,69747,M
614,69167,M
615,69167,M
616,69167,M
617,69475,M
618,69475,M
619,69528,M
620,69528,M
621,69528,M
622,70361001,M
623,70361001,M
624,70360,M
625,70360,M
626,70360,M
627,70360,M
628,69905,M
629,69905,M
630,70097,M
631,70097,M
632,70097,M
633,70093,M
634,70093,M
635,70093,M
636,70093,M
637,70093,M
638,70093,M
639,69151,M
640,69151,M
641,69151,M
642,69151,M
643,69151,M
644,69151,M
645,69151,M
646,69150,M
647,69150,M
648,69150,M
649,69150,M
650,69150,M
651,69150,M
652,69150,M
653,69150,M
654,68863,M
655,68863,M
656,68863,M
657,68863,M
658,68863,M
659,68863,M
660,68863,M
661,68863,M
662,68863,M
663,68863,M
664,68866,M
665,68866,M
666,68866,M
667,68866,M
668,68866,M
669,68862,M
670,68862,M
671,68862,M
672,68862,M
673,68862,M
674,68862,M
675,68862,M
676,68862,M
677,68862,M
678,68862,M
679,68862,M
680,68862,M
681,68862,M
682,68862,M
683,69109,M
684,69109,M
685,69109,M
686,69109,M
687,69109,M
688,69108,M
689,69108,M
690,69108,M
691,69108,M
692,69108,M
693,69108,M
694,69108,M
695,69108,M
696,69383,M
697,69383,M
698,69383,M
699,69383,M
700,69383,M
701,69383,M
702,69383,M
703,69928,F
704,69928,F
705,69286,F
706,69286,F
707,67698,F
708,69365,F
709,69365,F
710,69375,F
711,69375,F
712,69375,F
713,69375,F
714,69375,F
715,69375,F
716,69375,F
717,69375,F
718,69585,F
719,69585,F
720,69376,F
721,69376,F
722,69376,F
723,70414,F
724,69226,F
725,69226,F
726,69226,F
727,69226,F
728,69225,F
729,69225,F
730,69225,F
731,69225,F
732,69225,F
733,69225,F
734,69225,F
735,69225,F
736,69225,F
737,69225,F
738,69373,F
739,69373,F
740,69373,F
741,69372,F
742,69372,F
743,69372,F
744,69374,F
745,69374,F
746,69374,F
747,70125,F
748,70125,F
749,70125,F
750,70125,F
751,69619,F
752,69619,F
753,69619,F
754,69619,F
755,69619,F
756,69619,F
757,69771,F
758,69771,F
759,69771,F
760,69771,F
761,69771,F
762,69424,F
763,69424,F
764,69423,F
765,69422,F
766,69422,F
767,70221,F
768,70221,F
769,70221,F
770,70202,F
771,70202,F
772,70202,F
773,70197,F
774,70197,F
775,70197,F
776,70224,F
777,70224,F
778,70224,F
779,69089,M
780,69089,M
781,69089,M
782,69089,M
783,69089,M
784,70480,M
785,70480,M
786,69908,M
787,69908,M
788,69906,M
789,69591,M
790,69591,M
791,69591,M
792,69591,M
793,70363001,M
794,70363001,M
795,70295,M
796,70295,M
797,70020,M
798,70020,M
799,70020,M
800,69090,M
801,69090,M
802,69090,M
803,69090,M
804,69090,M
805,69899,M
806,69899,M
807,69899,M
808,69899,M
809,70447,F
810,70447,F
811,70447,F
812,70445,F
813,70445,F
814,70445,F
815,70443,F
816,70443,F
817,70345,F
818,70345,F
819,70214,F
820,70214,F
821,69779,F
822,69779,F
823,69779,F
824,69779,F
825,69779,F
826,69779,F
827,70200,F
828,70200,F
829,70200,F
830,70248,F
831,70248,F
832,70249990,F
833,70249990,F
834,70249990,F
835,68994,F
836,68994,F
837,68994,F
838,68994,F
839,68994,F
840,68994,F
841,68994,F
842,68994,F
843,68994,F
844,68994,F
845,68994,F
846,68994,F
847,68994,F
848,68994,F
849,69548,F
850,69548,F
851,69548,F
852,69548,F
853,69548,F
854,69205,F
855,69205,F
856,65131,F
857,65131,F
858,65131,F
859,65131,F
860,65131,F
861,65131,F
862,65131,F
863,65131,F
864,70077,F
865,70077,F
866,70077,F
867,70077,F
868,70077,F
869,70199,F
870,70199,F
871,70199,F
872,70226,F
873,70121,F
874,70121,F
875,70120,F
876,70120,F
877,70119,F
878,70119,F
879,70118,F
880,70118,F
881,70117,F
882,70117,F
883,70116,F
884,70116,F
885,70115,F
886,70115,F
887,70114,F
888,70114,F
889,69587,F
890,69587,F
891,70654,F
892,70654,F
893,69586,F
894,69586,F
895,69586,F
896,67353,F
897,67353,F
898,67353,F
899,67353,F
900,70462,F
901,67995,F
902,70255,F
903,70255,F
904,69996,F
905,69993,F
906,70546,F
907,70546,F
908,70546,F
909,69569,F
910,69569,F
911,70646,F
912,70646,F
913,70646,F
914,70549,F
915,70549,F
916,70548,F
917,70548,F
918,68999,F
919,68999,F
920,68999,F
921,68999,F
922,69000,F
923,69000,F
924,69000,F
925,70791,F
926,70790,F
927,70789,F
928,69136,F
929,69136,F
930,70787,F
931,70786,F
932,70785,F
933,69854,F
934,69854,F
935,69854,F
936,66870,F
937,66870,F
938,66870,F
939,70717,F
940,70716,F
941,70918,F
942,70917,F
943,70916,F
944,69280,F
945,69280,F
946,69280,F
947,69281,F
948,69281,F
949,69387,F
950,68993,F
951,68993,F
952,68993,F
953,68993,F
954,68993,F
955,68993,F
956,68993,F
957,68993,F
958,68993,F
959,68993,F
960,68993,F
961,69282,F
962,69282,F
963,69282,F
964,69516,F
965,69516,F
966,69516,F
967,69516,F
968,69544,F
969,69544,F
970,69544,F
971,69544,F
972,69544,F
973,69544,F
974,69544,F
975,69544,F
976,69495,F
977,69495,F
978,69495,F
979,69326,F
980,69326,F
981,69326,F
982,69326,F
983,69326,F
984,69326,F
985,69326,F
986,69326,F
987,69326,F
988,69326,F
989,69326,F
990,69326,F
991,69160,F
992,69160,F
993,69160,F
994,69160,F
995,69160,F
996,69852,F
997,69852,F
998,69852,F
999,70472,F
1000,70472,F
1001,70472,F
1002,70470,F
1003,70470,F
1004,70470,F
1005,70392,F
1006,70392,F
1007,70393,F
1008,70393,F
1009,69769002,F
1010,70141,F
1011,70141,F
1012,69769990,F
1013,69769990,F
1014,67470,F
1015,67470,F
1016,67470,F
1017,67470,F
1018,67222,F
1019,69389,F
1020,69389,F
1021,69389,F
1022,69489,F
1023,69489,F
1024,69489,F
1025,69489,F
1026,69489,F
1027,69493,F
1028,69493,F
1029,69493,F
1030,69493,F
1031,69490,F
1032,69490,F
1033,69490,F
1034,69490,F
1035,69488,F
1036,69488,F
1037,69756,F
1038,69756,F
1039,69756,F
1040,70726,F
1041,70776,F
1042,70776,F
1043,70776,F
1044,70728,F
1045,69388,F
1046,69754,F
1047,69754,F
1048,69754,F
1049,69754,F
1050,69754,F
1051,70025,F
1052,69796,F
1053,69796,F
1054,69796,F
1055,69796,F
1056,69796,F
1057,69519,F
1058,69519,F
1059,69519,F
1060,69519,F
1061,69519,F
1062,69519,F
1063,69519,F
1064,69519,F
1065,69519,F
1066,69520,F
1067,69520,F
1068,69520,F
1069,69520,F
1070,69520,F
1071,69520,F
1072,69520,F
1073,69520,F
1074,69518,F
1075,69518,F
1076,69518,F
1077,69518,F
1078,69518,F
1079,69518,F
1080,69793,F
1081,69793,F
1082,69793,F
1083,69793,F
1084,69277,F
1085,69277,F
1086,69277,F
1087,69277,F
1088,70592,F
1089,70592,F
1090,70592,F
1091,70592,F
1092,70592,F
1093,70592,F
1094,70592,F
1095,70591,F
1096,70591,F
1097,70591,F
1098,70591,F
1099,70591,F
1100,70591,F
1101,70591,F
1102,70591,F
1103,70591,F
1104,70591,F
1105,70591,F
1106,70591,F
1107,70591,F
1108,70340,F
1109,70340,F
1110,70340,F
1111,70338,F
1112,70338,F
1113,70338,F
1114,70342,F
1115,70342,F
1116,70342,F
1117,70337,F
1118,70337,F
1119,70337,F
1120,70336,F
1121,70336,F
1122,69521,F
1123,69521,F
1124,69521,F
